date,start_est,away_rest,away_team,home_team,home_rest,arena
22-Oct-19,8:00pm,first_game,New Orleans Pelicans,Toronto Raptors,first_game,Scotiabank Arena
22-Oct-19,10:30pm,first_game,Los Angeles Lakers,Los Angeles Clippers,first_game,Staples Center
23-Oct-19,7:00pm,first_game,Cleveland Cavaliers,Orlando Magic,first_game,Amway Center
23-Oct-19,7:00pm,first_game,Detroit Pistons,Indiana Pacers,first_game,Bankers Life Fieldhouse
23-Oct-19,7:00pm,first_game,Chicago Bulls,Charlotte Hornets,first_game,Spectrum Center
23-Oct-19,7:30pm,first_game,Memphis Grizzlies,Miami Heat,first_game,American Airlines Arena
23-Oct-19,7:30pm,first_game,Minnesota Timberwolves,Brooklyn Nets,first_game,Barclays Center
23-Oct-19,7:30pm,first_game,Boston Celtics,Philadelphia 76ers,first_game,Wells Fargo Center
23-Oct-19,8:30pm,first_game,Washington Wizards,Dallas Mavericks,first_game,American Airlines Center
23-Oct-19,8:30pm,first_game,New York Knicks,San Antonio Spurs,first_game,AT&T Center
23-Oct-19,9:00pm,first_game,Oklahoma City Thunder,Utah Jazz,first_game,Vivint Smart Home Arena
23-Oct-19,10:00pm,first_game,Denver Nuggets,Portland Trail Blazers,first_game,Moda Center
23-Oct-19,10:00pm,first_game,Sacramento Kings,Phoenix Suns,first_game,Talking Stick Resort Arena
24-Oct-19,7:00pm,first_game,Atlanta Hawks,Detroit Pistons,0,Little Caesars Arena
24-Oct-19,8:00pm,first_game,Milwaukee Bucks,Houston Rockets,first_game,Toyota Center
24-Oct-19,10:30pm,1,Los Angeles Clippers,Golden State Warriors,first_game,Chase Center
25-Oct-19,7:00pm,2,Toronto Raptors,Boston Celtics,1,TD Garden
25-Oct-19,7:00pm,1,Minnesota Timberwolves,Charlotte Hornets,1,Spectrum Center
25-Oct-19,7:30pm,1,New York Knicks,Brooklyn Nets,1,Barclays Center
25-Oct-19,8:00pm,1,Washington Wizards,Oklahoma City Thunder,1,Chesapeake Energy Arena
25-Oct-19,8:00pm,1,Dallas Mavericks,New Orleans Pelicans,2,Smoothie King Center
25-Oct-19,8:00pm,1,Chicago Bulls,Memphis Grizzlies,1,FedExForum
25-Oct-19,9:00pm,1,Phoenix Suns,Denver Nuggets,1,Pepsi Center
25-Oct-19,10:00pm,1,Portland Trail Blazers,Sacramento Kings,1,Golden 1 Center
25-Oct-19,10:30pm,1,Utah Jazz,Los Angeles Lakers,2,Staples Center
26-Oct-19,5:00pm,2,Miami Heat,Milwaukee Bucks,1,Fiserv Forum
26-Oct-19,7:00pm,2,Philadelphia 76ers,Detroit Pistons,1,Little Caesars Arena
26-Oct-19,7:30pm,2,Orlando Magic,Atlanta Hawks,1,State Farm Arena
26-Oct-19,7:30pm,0,Boston Celtics,New York Knicks,0,Madison Square Garden
26-Oct-19,8:00pm,0,New Orleans Pelicans,Houston Rockets,1,Toyota Center
26-Oct-19,8:00pm,2,Indiana Pacers,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
26-Oct-19,8:00pm,0,Toronto Raptors,Chicago Bulls,0,United Center
26-Oct-19,8:30pm,0,Washington Wizards,San Antonio Spurs,2,AT&T Center
26-Oct-19,9:00pm,0,Sacramento Kings,Utah Jazz,0,Vivint Smart Home Arena
26-Oct-19,10:00pm,1,Los Angeles Clippers,Phoenix Suns,0,Talking Stick Resort Arena
27-Oct-19,3:30pm,2,Golden State Warriors,Oklahoma City Thunder,1,Chesapeake Energy Arena
27-Oct-19,6:00pm,1,Brooklyn Nets,Memphis Grizzlies,1,FedExForum
27-Oct-19,7:00pm,0,Miami Heat,Minnesota Timberwolves,1,Target Center
27-Oct-19,7:00pm,1,Portland Trail Blazers,Dallas Mavericks,1,American Airlines Center
27-Oct-19,9:30pm,1,Charlotte Hornets,Los Angeles Lakers,1,Staples Center
28-Oct-19,7:00pm,1,Indiana Pacers,Detroit Pistons,1,Little Caesars Arena
28-Oct-19,7:00pm,1,Chicago Bulls,New York Knicks,1,Madison Square Garden
28-Oct-19,7:30pm,1,Philadelphia 76ers,Atlanta Hawks,1,State Farm Arena
28-Oct-19,7:30pm,1,Orlando Magic,Toronto Raptors,1,Scotiabank Arena
28-Oct-19,8:00pm,0,Golden State Warriors,New Orleans Pelicans,1,Smoothie King Center
28-Oct-19,8:00pm,1,Cleveland Cavaliers,Milwaukee Bucks,1,Fiserv Forum
28-Oct-19,8:00pm,0,Oklahoma City Thunder,Houston Rockets,1,Toyota Center
28-Oct-19,8:30pm,0,Portland Trail Blazers,San Antonio Spurs,1,AT&T Center
28-Oct-19,10:00pm,1,Utah Jazz,Phoenix Suns,1,Talking Stick Resort Arena
28-Oct-19,10:00pm,2,Denver Nuggets,Sacramento Kings,1,Golden 1 Center
28-Oct-19,10:30pm,0,Charlotte Hornets,Los Angeles Clippers,1,Staples Center
29-Oct-19,7:30pm,0,Atlanta Hawks,Miami Heat,1,American Airlines Arena
29-Oct-19,9:00pm,1,Dallas Mavericks,Denver Nuggets,0,Pepsi Center
29-Oct-19,10:30pm,1,Memphis Grizzlies,Los Angeles Lakers,1,Staples Center
30-Oct-19,7:00pm,2,Minnesota Timberwolves,Philadelphia 76ers,1,Wells Fargo Center
30-Oct-19,7:00pm,1,New York Knicks,Orlando Magic,1,Amway Center
30-Oct-19,7:00pm,1,Chicago Bulls,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
30-Oct-19,7:30pm,1,Detroit Pistons,Toronto Raptors,1,Scotiabank Arena
30-Oct-19,7:30pm,1,Indiana Pacers,Brooklyn Nets,2,Barclays Center
30-Oct-19,7:30pm,1,Milwaukee Bucks,Boston Celtics,3,TD Garden
30-Oct-19,8:00pm,1,Portland Trail Blazers,Oklahoma City Thunder,1,Chesapeake Energy Arena
30-Oct-19,8:00pm,1,Houston Rockets,Washington Wizards,3,Capital One Arena
30-Oct-19,10:00pm,1,Charlotte Hornets,Sacramento Kings,1,Golden 1 Center
30-Oct-19,10:00pm,1,Los Angeles Clippers,Utah Jazz,1,Vivint Smart Home Arena
30-Oct-19,10:30pm,1,Phoenix Suns,Golden State Warriors,1,Chase Center
31-Oct-19,7:00pm,1,Miami Heat,Atlanta Hawks,1,State Farm Arena
31-Oct-19,9:30pm,1,Denver Nuggets,New Orleans Pelicans,2,Smoothie King Center
31-Oct-19,10:30pm,2,San Antonio Spurs,Los Angeles Clippers,0,Staples Center
1-Nov-19,7:00pm,1,Houston Rockets,Brooklyn Nets,1,Barclays Center
1-Nov-19,7:00pm,1,Cleveland Cavaliers,Indiana Pacers,1,Bankers Life Fieldhouse
1-Nov-19,7:00pm,1,Milwaukee Bucks,Orlando Magic,1,Amway Center
1-Nov-19,7:30pm,1,New York Knicks,Boston Celtics,1,TD Garden
1-Nov-19,8:00pm,1,Detroit Pistons,Chicago Bulls,1,United Center
1-Nov-19,9:30pm,2,Los Angeles Lakers,Dallas Mavericks,2,American Airlines Center
1-Nov-19,10:00pm,1,Utah Jazz,Sacramento Kings,1,Golden 1 Center
1-Nov-19,10:30pm,0,San Antonio Spurs,Golden State Warriors,1,Chase Center
2-Nov-19,5:00pm,1,New Orleans Pelicans,Oklahoma City Thunder,2,Chesapeake Energy Arena
2-Nov-19,7:00pm,0,Brooklyn Nets,Detroit Pistons,0,Little Caesars Arena
2-Nov-19,7:00pm,1,Denver Nuggets,Orlando Magic,0,Amway Center
2-Nov-19,8:00pm,2,Phoenix Suns,Memphis Grizzlies,3,FedExForum
2-Nov-19,8:00pm,2,Toronto Raptors,Milwaukee Bucks,0,Fiserv Forum
2-Nov-19,8:00pm,2,Minnesota Timberwolves,Washington Wizards,2,Capital One Arena
2-Nov-19,8:30pm,2,Charlotte Hornets,Golden State Warriors,0,Chase Center
2-Nov-19,10:00pm,2,Philadelphia 76ers,Portland Trail Blazers,2,Moda Center
3-Nov-19,5:00pm,1,Chicago Bulls,Indiana Pacers,1,Bankers Life Fieldhouse
3-Nov-19,6:00pm,1,Houston Rockets,Miami Heat,2,American Airlines Arena
3-Nov-19,6:00pm,1,Sacramento Kings,New York Knicks,1,Madison Square Garden
3-Nov-19,7:00pm,1,Los Angeles Lakers,San Antonio Spurs,1,AT&T Center
3-Nov-19,7:30pm,1,Dallas Mavericks,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
3-Nov-19,9:00pm,1,Utah Jazz,Los Angeles Clippers,2,Staples Center
4-Nov-19,7:00pm,1,Detroit Pistons,Washington Wizards,1,Capital One Arena
4-Nov-19,7:30pm,1,New Orleans Pelicans,Brooklyn Nets,1,Barclays Center
4-Nov-19,8:00pm,0,Houston Rockets,Memphis Grizzlies,1,FedExForum
4-Nov-19,8:00pm,1,Milwaukee Bucks,Minnesota Timberwolves,1,Target Center
4-Nov-19,9:00pm,1,Philadelphia 76ers,Phoenix Suns,1,Talking Stick Resort Arena
4-Nov-19,10:30pm,1,Portland Trail Blazers,Golden State Warriors,1,Chase Center
5-Nov-19,7:00pm,1,Indiana Pacers,Charlotte Hornets,2,Spectrum Center
5-Nov-19,7:00pm,3,Boston Celtics,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
5-Nov-19,7:30pm,1,San Antonio Spurs,Atlanta Hawks,4,State Farm Arena
5-Nov-19,8:00pm,1,Los Angeles Lakers,Chicago Bulls,1,United Center
5-Nov-19,8:00pm,2,Orlando Magic,Oklahoma City Thunder,2,Chesapeake Energy Arena
5-Nov-19,9:00pm,1,Miami Heat,Denver Nuggets,2,Pepsi Center
6-Nov-19,7:00pm,2,New York Knicks,Detroit Pistons,1,Little Caesars Arena
6-Nov-19,7:00pm,1,Washington Wizards,Indiana Pacers,0,Bankers Life Fieldhouse
6-Nov-19,7:30pm,0,Chicago Bulls,Atlanta Hawks,0,State Farm Arena
6-Nov-19,7:30pm,1,Golden State Warriors,Houston Rockets,1,Toyota Center
6-Nov-19,7:30pm,2,Sacramento Kings,Toronto Raptors,3,Scotiabank Arena
6-Nov-19,8:00pm,1,Minnesota Timberwolves,Memphis Grizzlies,1,FedExForum
6-Nov-19,8:30pm,0,Orlando Magic,Dallas Mavericks,2,American Airlines Center
6-Nov-19,9:00pm,1,Philadelphia 76ers,Utah Jazz,2,Vivint Smart Home Arena
6-Nov-19,10:00pm,1,Milwaukee Bucks,Los Angeles Clippers,2,Staples Center
7-Nov-19,8:00pm,1,Boston Celtics,Charlotte Hornets,1,Spectrum Center
7-Nov-19,8:30pm,1,Oklahoma City Thunder,San Antonio Spurs,1,AT&T Center
7-Nov-19,9:00pm,1,Miami Heat,Phoenix Suns,2,Talking Stick Resort Arena
7-Nov-19,10:30pm,2,Portland Trail Blazers,Los Angeles Clippers,0,Staples Center
8-Nov-19,7:00pm,1,Detroit Pistons,Indiana Pacers,1,Bankers Life Fieldhouse
8-Nov-19,7:00pm,1,Memphis Grizzlies,Orlando Magic,1,Amway Center
8-Nov-19,7:00pm,2,Cleveland Cavaliers,Washington Wizards,1,Capital One Arena
8-Nov-19,7:30pm,1,Sacramento Kings,Atlanta Hawks,1,State Farm Arena
8-Nov-19,8:00pm,1,Golden State Warriors,Minnesota Timberwolves,1,Target Center
8-Nov-19,8:00pm,1,Toronto Raptors,New Orleans Pelicans,3,Smoothie King Center
8-Nov-19,8:30pm,1,New York Knicks,Dallas Mavericks,1,American Airlines Center
8-Nov-19,9:00pm,1,Philadelphia 76ers,Denver Nuggets,2,Pepsi Center
8-Nov-19,9:00pm,1,Milwaukee Bucks,Utah Jazz,1,Vivint Smart Home Arena
8-Nov-19,10:00pm,3,Brooklyn Nets,Portland Trail Blazers,0,Moda Center
8-Nov-19,10:30pm,0,Miami Heat,Los Angeles Lakers,2,Staples Center
9-Nov-19,5:00pm,1,Boston Celtics,San Antonio Spurs,1,AT&T Center
9-Nov-19,7:00pm,0,New Orleans Pelicans,Charlotte Hornets,1,Spectrum Center
9-Nov-19,8:00pm,2,Houston Rockets,Chicago Bulls,2,United Center
9-Nov-19,8:00pm,0,Dallas Mavericks,Memphis Grizzlies,0,FedExForum
9-Nov-19,8:00pm,0,Golden State Warriors,Oklahoma City Thunder,1,Chesapeake Energy Arena
10-Nov-19,3:30pm,1,Denver Nuggets,Minnesota Timberwolves,1,Target Center
10-Nov-19,6:00pm,1,Indiana Pacers,Orlando Magic,1,Amway Center
10-Nov-19,6:00pm,0,Charlotte Hornets,Philadelphia 76ers,1,Wells Fargo Center
10-Nov-19,7:00pm,1,Milwaukee Bucks,Oklahoma City Thunder,0,Chesapeake Energy Arena
10-Nov-19,7:30pm,1,Cleveland Cavaliers,New York Knicks,1,Madison Square Garden
10-Nov-19,8:00pm,1,Brooklyn Nets,Phoenix Suns,2,Talking Stick Resort Arena
10-Nov-19,9:00pm,1,Atlanta Hawks,Portland Trail Blazers,1,Moda Center
10-Nov-19,9:30pm,1,Toronto Raptors,Los Angeles Lakers,1,Staples Center
11-Nov-19,7:00pm,0,Minnesota Timberwolves,Detroit Pistons,2,Little Caesars Arena
11-Nov-19,7:30pm,1,Dallas Mavericks,Boston Celtics,1,TD Garden
11-Nov-19,8:00pm,1,Houston Rockets,New Orleans Pelicans,1,Smoothie King Center
11-Nov-19,8:30pm,1,Memphis Grizzlies,San Antonio Spurs,1,AT&T Center
11-Nov-19,10:30pm,2,Utah Jazz,Golden State Warriors,1,Chase Center
11-Nov-19,10:30pm,0,Toronto Raptors,Los Angeles Clippers,3,Staples Center
12-Nov-19,7:00pm,1,Oklahoma City Thunder,Indiana Pacers,1,Bankers Life Fieldhouse
12-Nov-19,7:00pm,1,Cleveland Cavaliers,Philadelphia 76ers,1,Wells Fargo Center
12-Nov-19,7:30pm,0,Detroit Pistons,Miami Heat,3,American Airlines Arena
12-Nov-19,8:00pm,1,New York Knicks,Chicago Bulls,2,United Center
12-Nov-19,9:00pm,1,Atlanta Hawks,Denver Nuggets,1,Pepsi Center
12-Nov-19,9:00pm,1,Los Angeles Lakers,Phoenix Suns,1,Talking Stick Resort Arena
12-Nov-19,9:00pm,1,Brooklyn Nets,Utah Jazz,0,Vivint Smart Home Arena
12-Nov-19,10:00pm,1,Portland Trail Blazers,Sacramento Kings,3,Golden 1 Center
13-Nov-19,7:00pm,1,Memphis Grizzlies,Charlotte Hornets,2,Spectrum Center
13-Nov-19,7:00pm,0,Philadelphia 76ers,Orlando Magic,2,Amway Center
13-Nov-19,7:30pm,4,Washington Wizards,Boston Celtics,1,TD Garden
13-Nov-19,7:30pm,1,Los Angeles Clippers,Houston Rockets,1,Toyota Center
13-Nov-19,8:00pm,1,San Antonio Spurs,Minnesota Timberwolves,1,Target Center
13-Nov-19,10:00pm,1,Golden State Warriors,Los Angeles Lakers,0,Staples Center
13-Nov-19,10:00pm,1,Toronto Raptors,Portland Trail Blazers,0,Moda Center
14-Nov-19,6:00pm,1,Miami Heat,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
14-Nov-19,8:00pm,1,Chicago Bulls,Milwaukee Bucks,3,Fiserv Forum
14-Nov-19,8:00pm,0,Los Angeles Clippers,New Orleans Pelicans,2,Smoothie King Center
14-Nov-19,8:00pm,2,Dallas Mavericks,New York Knicks,1,Madison Square Garden
14-Nov-19,9:00pm,1,Atlanta Hawks,Phoenix Suns,1,Talking Stick Resort Arena
14-Nov-19,10:30pm,1,Brooklyn Nets,Denver Nuggets,1,Pepsi Center
15-Nov-19,7:00pm,2,Detroit Pistons,Charlotte Hornets,1,Spectrum Center
15-Nov-19,7:00pm,1,San Antonio Spurs,Orlando Magic,1,Amway Center
15-Nov-19,8:00pm,2,Indiana Pacers,Houston Rockets,1,Toyota Center
15-Nov-19,8:00pm,2,Utah Jazz,Memphis Grizzlies,1,FedExForum
15-Nov-19,8:00pm,1,Washington Wizards,Minnesota Timberwolves,1,Target Center
15-Nov-19,8:00pm,1,Philadelphia 76ers,Oklahoma City Thunder,2,Chesapeake Energy Arena
15-Nov-19,10:30pm,1,Boston Celtics,Golden State Warriors,1,Chase Center
15-Nov-19,10:30pm,2,Sacramento Kings,Los Angeles Lakers,1,Staples Center
16-Nov-19,6:00pm,1,Brooklyn Nets,Chicago Bulls,1,United Center
16-Nov-19,7:00pm,1,Milwaukee Bucks,Indiana Pacers,0,Bankers Life Fieldhouse
16-Nov-19,7:30pm,0,Charlotte Hornets,New York Knicks,1,Madison Square Garden
16-Nov-19,8:00pm,1,New Orleans Pelicans,Miami Heat,1,American Airlines Arena
16-Nov-19,8:00pm,0,Houston Rockets,Minnesota Timberwolves,0,Target Center
16-Nov-19,8:30pm,2,Toronto Raptors,Dallas Mavericks,1,American Airlines Center
16-Nov-19,8:30pm,2,Portland Trail Blazers,San Antonio Spurs,0,AT&T Center
16-Nov-19,10:30pm,1,Atlanta Hawks,Los Angeles Clippers,1,Staples Center
17-Nov-19,3:00pm,1,Philadelphia 76ers,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
17-Nov-19,3:30pm,1,Boston Celtics,Sacramento Kings,1,Golden 1 Center
17-Nov-19,6:00pm,2,Denver Nuggets,Memphis Grizzlies,1,FedExForum
17-Nov-19,6:00pm,1,Washington Wizards,Orlando Magic,1,Amway Center
17-Nov-19,7:00pm,1,Golden State Warriors,New Orleans Pelicans,0,Smoothie King Center
17-Nov-19,9:30pm,0,Atlanta Hawks,Los Angeles Lakers,1,Staples Center
18-Nov-19,7:00pm,0,Cleveland Cavaliers,New York Knicks,1,Madison Square Garden
18-Nov-19,7:30pm,1,Indiana Pacers,Brooklyn Nets,1,Barclays Center
18-Nov-19,7:30pm,1,Charlotte Hornets,Toronto Raptors,1,Scotiabank Arena
18-Nov-19,8:00pm,1,Milwaukee Bucks,Chicago Bulls,1,United Center
18-Nov-19,8:00pm,1,Portland Trail Blazers,Houston Rockets,1,Toyota Center
18-Nov-19,8:30pm,1,San Antonio Spurs,Dallas Mavericks,1,American Airlines Center
18-Nov-19,9:00pm,0,Boston Celtics,Phoenix Suns,3,Talking Stick Resort Arena
18-Nov-19,9:00pm,1,Minnesota Timberwolves,Utah Jazz,2,Vivint Smart Home Arena
18-Nov-19,10:30pm,2,Oklahoma City Thunder,Los Angeles Clippers,1,Staples Center
19-Nov-19,8:00pm,1,Golden State Warriors,Memphis Grizzlies,1,FedExForum
19-Nov-19,8:00pm,0,Portland Trail Blazers,New Orleans Pelicans,1,Smoothie King Center
19-Nov-19,10:00pm,0,Phoenix Suns,Sacramento Kings,1,Golden 1 Center
19-Nov-19,10:30pm,0,Oklahoma City Thunder,Los Angeles Lakers,1,Staples Center
20-Nov-19,7:00pm,1,New York Knicks,Philadelphia 76ers,2,Wells Fargo Center
20-Nov-19,7:00pm,1,San Antonio Spurs,Washington Wizards,2,Capital One Arena
20-Nov-19,7:30pm,1,Milwaukee Bucks,Atlanta Hawks,2,State Farm Arena
20-Nov-19,7:30pm,1,Charlotte Hornets,Brooklyn Nets,1,Barclays Center
20-Nov-19,7:30pm,0,Golden State Warriors,Dallas Mavericks,1,American Airlines Center
20-Nov-19,7:30pm,1,Cleveland Cavaliers,Miami Heat,3,American Airlines Arena
20-Nov-19,7:30pm,2,Orlando Magic,Toronto Raptors,1,Scotiabank Arena
20-Nov-19,8:00pm,4,Detroit Pistons,Chicago Bulls,1,United Center
20-Nov-19,8:00pm,1,Utah Jazz,Minnesota Timberwolves,1,Target Center
20-Nov-19,9:00pm,1,Houston Rockets,Denver Nuggets,2,Pepsi Center
20-Nov-19,10:00pm,1,Boston Celtics,Los Angeles Clippers,1,Staples Center
21-Nov-19,8:00pm,1,Portland Trail Blazers,Milwaukee Bucks,0,Fiserv Forum
21-Nov-19,10:30pm,1,New Orleans Pelicans,Phoenix Suns,1,Talking Stick Resort Arena
22-Nov-19,7:00pm,1,Atlanta Hawks,Detroit Pistons,1,Little Caesars Arena
22-Nov-19,7:00pm,1,Charlotte Hornets,Washington Wizards,1,Capital One Arena
22-Nov-19,7:30pm,2,Sacramento Kings,Brooklyn Nets,1,Barclays Center
22-Nov-19,8:00pm,1,Miami Heat,Chicago Bulls,1,United Center
22-Nov-19,8:00pm,2,Los Angeles Lakers,Oklahoma City Thunder,2,Chesapeake Energy Arena
22-Nov-19,8:00pm,1,San Antonio Spurs,Philadelphia 76ers,1,Wells Fargo Center
22-Nov-19,8:30pm,1,Cleveland Cavaliers,Dallas Mavericks,1,American Airlines Center
22-Nov-19,9:00pm,1,Boston Celtics,Denver Nuggets,1,Pepsi Center
22-Nov-19,9:00pm,1,Golden State Warriors,Utah Jazz,1,Vivint Smart Home Arena
22-Nov-19,10:30pm,1,Houston Rockets,Los Angeles Clippers,1,Staples Center
23-Nov-19,5:00pm,1,Phoenix Suns,Minnesota Timberwolves,2,Target Center
23-Nov-19,7:00pm,0,Chicago Bulls,Charlotte Hornets,0,Spectrum Center
23-Nov-19,7:00pm,2,Orlando Magic,Indiana Pacers,4,Bankers Life Fieldhouse
23-Nov-19,7:30pm,2,Toronto Raptors,Atlanta Hawks,0,State Farm Arena
23-Nov-19,7:30pm,0,San Antonio Spurs,New York Knicks,2,Madison Square Garden
23-Nov-19,7:30pm,0,Miami Heat,Philadelphia 76ers,0,Wells Fargo Center
23-Nov-19,8:00pm,1,Portland Trail Blazers,Cleveland Cavaliers,0,Rocket Mortgage FieldHouse
23-Nov-19,8:00pm,0,Los Angeles Lakers,Memphis Grizzlies,3,FedExForum
23-Nov-19,8:30pm,0,Detroit Pistons,Milwaukee Bucks,1,Fiserv Forum
23-Nov-19,9:00pm,1,New Orleans Pelicans,Utah Jazz,0,Vivint Smart Home Arena
24-Nov-19,3:30pm,1,Dallas Mavericks,Houston Rockets,1,Toyota Center
24-Nov-19,6:00pm,1,Brooklyn Nets,New York Knicks,0,Madison Square Garden
24-Nov-19,6:00pm,1,Sacramento Kings,Washington Wizards,1,Capital One Arena
24-Nov-19,8:00pm,0,Phoenix Suns,Denver Nuggets,1,Pepsi Center
24-Nov-19,9:00pm,0,New Orleans Pelicans,Los Angeles Clippers,1,Staples Center
25-Nov-19,7:00pm,0,Brooklyn Nets,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
25-Nov-19,7:00pm,1,Orlando Magic,Detroit Pistons,1,Little Caesars Arena
25-Nov-19,7:00pm,1,Memphis Grizzlies,Indiana Pacers,1,Bankers Life Fieldhouse
25-Nov-19,7:30pm,1,Minnesota Timberwolves,Atlanta Hawks,1,State Farm Arena
25-Nov-19,7:30pm,0,Sacramento Kings,Boston Celtics,2,TD Garden
25-Nov-19,7:30pm,1,Charlotte Hornets,Miami Heat,1,American Airlines Arena
25-Nov-19,7:30pm,1,Philadelphia 76ers,Toronto Raptors,1,Scotiabank Arena
25-Nov-19,8:00pm,1,Portland Trail Blazers,Chicago Bulls,1,United Center
25-Nov-19,8:00pm,1,Utah Jazz,Milwaukee Bucks,1,Fiserv Forum
25-Nov-19,8:30pm,1,Los Angeles Lakers,San Antonio Spurs,1,AT&T Center
25-Nov-19,10:30pm,2,Oklahoma City Thunder,Golden State Warriors,2,Chase Center
26-Nov-19,8:30pm,1,Los Angeles Clippers,Dallas Mavericks,1,American Airlines Center
26-Nov-19,9:00pm,1,Washington Wizards,Denver Nuggets,1,Pepsi Center
27-Nov-19,7:00pm,1,Brooklyn Nets,Boston Celtics,1,TD Garden
27-Nov-19,7:00pm,1,Detroit Pistons,Charlotte Hornets,1,Spectrum Center
27-Nov-19,7:00pm,1,Orlando Magic,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
27-Nov-19,7:00pm,1,Utah Jazz,Indiana Pacers,1,Bankers Life Fieldhouse
27-Nov-19,7:00pm,1,Sacramento Kings,Philadelphia 76ers,1,Wells Fargo Center
27-Nov-19,7:30pm,2,New York Knicks,Toronto Raptors,1,Scotiabank Arena
27-Nov-19,8:00pm,1,Miami Heat,Houston Rockets,2,Toyota Center
27-Nov-19,8:00pm,0,Los Angeles Clippers,Memphis Grizzlies,1,FedExForum
27-Nov-19,8:00pm,1,Atlanta Hawks,Milwaukee Bucks,1,Fiserv Forum
27-Nov-19,8:30pm,1,Minnesota Timberwolves,San Antonio Spurs,1,AT&T Center
27-Nov-19,9:00pm,0,Washington Wizards,Phoenix Suns,2,Talking Stick Resort Arena
27-Nov-19,9:30pm,1,Los Angeles Lakers,New Orleans Pelicans,2,Smoothie King Center
27-Nov-19,10:00pm,1,Oklahoma City Thunder,Portland Trail Blazers,1,Moda Center
27-Nov-19,10:30pm,1,Chicago Bulls,Golden State Warriors,1,Chase Center
29-Nov-19,12:00pm,1,Boston Celtics,Brooklyn Nets,1,Barclays Center
29-Nov-19,7:00pm,1,Charlotte Hornets,Detroit Pistons,1,Little Caesars Arena
29-Nov-19,7:00pm,1,Toronto Raptors,Orlando Magic,1,Amway Center
29-Nov-19,7:30pm,1,Milwaukee Bucks,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
29-Nov-19,7:30pm,1,Philadelphia 76ers,New York Knicks,1,Madison Square Garden
29-Nov-19,8:00pm,1,Atlanta Hawks,Indiana Pacers,1,Bankers Life Fieldhouse
29-Nov-19,8:00pm,1,Utah Jazz,Memphis Grizzlies,1,FedExForum
29-Nov-19,8:00pm,1,Golden State Warriors,Miami Heat,1,American Airlines Arena
29-Nov-19,8:00pm,1,New Orleans Pelicans,Oklahoma City Thunder,1,Chesapeake Energy Arena
29-Nov-19,8:30pm,1,Los Angeles Clippers,San Antonio Spurs,1,AT&T Center
29-Nov-19,9:00pm,2,Dallas Mavericks,Phoenix Suns,1,Talking Stick Resort Arena
29-Nov-19,10:00pm,1,Chicago Bulls,Portland Trail Blazers,1,Moda Center
29-Nov-19,10:30pm,1,Washington Wizards,Los Angeles Lakers,1,Staples Center
30-Nov-19,5:00pm,3,Denver Nuggets,Sacramento Kings,2,Golden 1 Center
30-Nov-19,7:00pm,0,Indiana Pacers,Philadelphia 76ers,0,Wells Fargo Center
30-Nov-19,8:00pm,0,Atlanta Hawks,Houston Rockets,2,Toyota Center
30-Nov-19,8:00pm,0,Charlotte Hornets,Milwaukee Bucks,0,Fiserv Forum
1-Dec-19,3:00pm,1,Miami Heat,Brooklyn Nets,1,Barclays Center
1-Dec-19,3:30pm,1,Memphis Grizzlies,Minnesota Timberwolves,3,Target Center
1-Dec-19,3:30pm,1,Boston Celtics,New York Knicks,1,Madison Square Garden
1-Dec-19,4:00pm,1,Dallas Mavericks,Los Angeles Lakers,1,Staples Center
1-Dec-19,5:00pm,1,San Antonio Spurs,Detroit Pistons,1,Little Caesars Arena
1-Dec-19,5:00pm,1,Oklahoma City Thunder,New Orleans Pelicans,1,Smoothie King Center
1-Dec-19,6:00pm,1,Golden State Warriors,Orlando Magic,1,Amway Center
1-Dec-19,6:00pm,1,Utah Jazz,Toronto Raptors,1,Scotiabank Arena
1-Dec-19,10:30pm,1,Washington Wizards,Los Angeles Clippers,1,Staples Center
2-Dec-19,7:00pm,2,Phoenix Suns,Charlotte Hornets,1,Spectrum Center
2-Dec-19,7:00pm,0,Utah Jazz,Philadelphia 76ers,1,Wells Fargo Center
2-Dec-19,7:30pm,0,Golden State Warriors,Atlanta Hawks,1,State Farm Arena
2-Dec-19,8:00pm,1,Indiana Pacers,Memphis Grizzlies,0,FedExForum
2-Dec-19,8:00pm,0,New York Knicks,Milwaukee Bucks,1,Fiserv Forum
2-Dec-19,10:00pm,2,Chicago Bulls,Sacramento Kings,1,Golden 1 Center
3-Dec-19,7:00pm,1,Detroit Pistons,Cleveland Cavaliers,3,Rocket Mortgage FieldHouse
3-Dec-19,7:00pm,1,Orlando Magic,Washington Wizards,1,Capital One Arena
3-Dec-19,7:30pm,1,Dallas Mavericks,New Orleans Pelicans,1,Smoothie King Center
3-Dec-19,7:30pm,1,Miami Heat,Toronto Raptors,1,Scotiabank Arena
3-Dec-19,8:30pm,2,Houston Rockets,San Antonio Spurs,1,AT&T Center
